,time,marital,religious_attendance,age,gender,race,education,evangelical,political_views,affiliation,latino,intend_to_vote,registered_to_vote,preferred_candidate,vote_today_candidate,hc_pref,dt_pref,gj_pref,js_pref,id,region
17,2016/10/26 7:29:51 PM EST,Never been married,Never,30,Male,White,Some college attendence,No,Conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Satisfied,Satisfied,17,S
18,2016/10/26 7:30:23 PM EST,Never been married,Never,28,Female,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Very dissatisfied,18,S
19,2016/10/26 7:30:42 PM EST,Married,Seldom,55,Female,White,Four year college degree/bachelor’s degree,Yes,Moderate,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,Dissatisfied,Neutral,19,S
20,2016/10/26 7:30:48 PM EST,Divorced,Once or twice a month,35,Female,Latin American/Hispanic,High school graduate or GED,No,Very liberal,Democrat,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Neutral,20,S
21,2016/10/26 7:31:17 PM EST,Never been married,Never,25,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,21,S
22,2016/10/26 7:31:20 PM EST,Never been married,A few times a year,21,Male,White,Some college attendence,No,I can't place myself on this spectrum,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Satisfied,I have no preference about this candidate,22,MW
23,2016/10/26 7:31:21 PM EST,Never been married,A few times a year,21,Male,White,Some college attendence,No,Moderate,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Satisfied,I have no preference about this candidate,23,MW
24,2016/10/26 7:31:40 PM EST,Never been married,A few times a year,24,Male,Latin American/Hispanic,Some college attendence,Yes,Conservative,Independent,Yes,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Satisfied,Very dissatisfied,24,S
25,2016/10/26 7:31:42 PM EST,Separated,Never,36,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Democrat,No,Probably,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,I have no preference about this candidate,Dissatisfied,25,NE
26,2016/10/26 7:31:42 PM EST,Married,A few times a year,55,Female,White,Some college attendence,Yes,Moderate,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,I have no preference about this candidate,I have no preference about this candidate,26,S
27,2016/10/26 7:31:50 PM EST,Married,Never,31,Female,White,Some college attendence,No,Moderate,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,27,S
28,2016/10/26 7:32:14 PM EST,Never been married,Never,24,Male,Asian or Asian-American,Some college attendence,No,Moderate,Independent,No,No,I'm not registered to vote,Jill Stein (Green),Donald Trump (Republican),Very dissatisfied,Dissatisfied,I have no preference about this candidate,I have no preference about this candidate,28,W
29,2016/10/26 7:32:44 PM EST,Married,A few times a year,44,Female,White,Four year college degree/bachelor’s degree,Yes,Very conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Dissatisfied,I have no preference about this candidate,I have no preference about this candidate,29,MW
30,2016/10/26 7:32:53 PM EST,Never been married,Never,35,Male,White,Some college attendence,No,Very liberal,Something else,No,Yes,I'm absolutely certain that I'm registered to vote,Bernie Sanders,Hillary Clinton (Democrat),Very dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,30,S
31,2016/10/26 7:32:56 PM EST,Married,Seldom,28,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Bernie Sanders,Donald Trump (Republican),Dissatisfied,Neutral,Satisfied,Very dissatisfied,31,MW
32,2016/10/26 7:32:58 PM EST,Divorced,A few times a year,54,Female,White/Hispanic,Four year college degree/bachelor’s degree,Yes,Very liberal,Democrat,Yes,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Very dissatisfied,Satisfied,Very satisfied,32,MW
33,2016/10/26 7:33:00 PM EST,Never been married,Seldom,25,Male,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,33,MW
34,2016/10/26 7:33:09 PM EST,Married,A few times a year,54,Female,Asian or Asian-American,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,I have no preference about this candidate,I have no preference about this candidate,34,S
35,2016/10/26 7:33:23 PM EST,Married,Once a week,54,Female,White,Four year college degree/bachelor’s degree,Yes,Moderate,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Dissatisfied,Very dissatisfied,35,S
36,2016/10/26 7:33:54 PM EST,Living with a partner,Seldom,27,Female,White,Four year college degree/bachelor’s degree,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Dissatisfied,I have no preference about this candidate,36,NE
37,2016/10/26 7:34:37 PM EST,Never been married,Once a week,25,Female,White,Some college attendence,Yes,Moderate,Republican,No,Probably,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Satisfied,Very satisfied,Satisfied,Satisfied,37,W
38,2016/10/26 7:34:59 PM EST,Living with a partner,Never,32,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,No,Yes,"I'm probably registered to vote, but there's a chance my registration has lasped",Jill Stein (Green),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Very satisfied,38,W
39,2016/10/26 7:35:10 PM EST,Married,Never,37,Male,Latin American/Hispanic,High school graduate or GED,No,Very liberal,Democrat,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,39,NE
40,2016/10/26 7:35:19 PM EST,Married,Never,33,Female,White,Some college attendence,No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Satisfied,40,NE
41,2016/10/26 7:35:31 PM EST,Living with a partner,Never,56,Female,White,Some college attendence,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,41,S
42,2016/10/26 7:35:53 PM EST,Married,A few times a year,30,Male,White,Four year college degree/bachelor’s degree,Yes,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very satisfied,Satisfied,Satisfied,42,NE
43,2016/10/26 7:36:42 PM EST,Married,Once a week,29,Male,White,High school graduate or GED,Yes,Conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Satisfied,Satisfied,Satisfied,Neutral,43,S
44,2016/10/26 7:37:01 PM EST,Divorced,Never,41,Female,White,Some college attendence,No,I can't place myself on this spectrum,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Satisfied,Very satisfied,44,S
45,2016/10/26 7:37:17 PM EST,Never been married,Never,23,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,45,NE
46,2016/10/26 7:37:21 PM EST,Married,Never,29,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Satisfied,46,MW
47,2016/10/26 7:37:22 PM EST,Never been married,Never,35,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Something else,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Satisfied,Dissatisfied,47,NE
48,2016/10/26 7:37:26 PM EST,Never been married,Once or twice a month,45,Female,White,Some college attendence,No,Moderate,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,48,MW
49,2016/10/26 7:37:26 PM EST,Living with a partner,Seldom,37,Male,White,Some college attendence,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Dissatisfied,49,S
50,2016/10/26 7:37:35 PM EST,Never been married,A few times a year,29,Male,Black or African-American,Four year college degree/bachelor’s degree,No,Very conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,50,W
51,2016/10/26 7:37:36 PM EST,Never been married,A few times a year,30,Male,White,Four year college degree/bachelor’s degree,Yes,Moderate,Democrat,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Neutral,Dissatisfied,Dissatisfied,51,MW
52,2016/10/26 7:37:36 PM EST,Never been married,Never,46,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Satisfied,Satisfied,52,S
53,2016/10/26 7:37:40 PM EST,Married,Never,31,Female,White,Four year college degree/bachelor’s degree,No,Very conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,Neutral,Neutral,53,MW
54,2016/10/26 7:37:52 PM EST,Never been married,Once a week,21,Female,Black or African-American,Some college attendence,Yes,Very liberal,Democrat,No,Not very likely,I'm not registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,54,S
55,2016/10/26 7:37:54 PM EST,Living with a partner,Never,26,Male,White,Four year college degree/bachelor’s degree,No,Moderate,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Neutral,Very dissatisfied,Very satisfied,Neutral,55,S
56,2016/10/26 7:37:55 PM EST,Married,Never,25,Female,White,Some college attendence,No,Liberal,Something else,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Neutral,Very dissatisfied,Neutral,Satisfied,56,MW
57,2016/10/26 7:38:14 PM EST,Married,A few times a year,31,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,57,MW
58,2016/10/26 7:38:15 PM EST,Never been married,Never,35,Male,White,Some college attendence,No,Moderate,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Neutral,Neutral,Neutral,Satisfied,58,W
59,2016/10/26 7:38:22 PM EST,Never been married,Never,43,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Neutral,Neutral,59,MW
60,2016/10/26 7:38:22 PM EST,Never been married,Never,39,Male,White,High school graduate or GED,Yes,Conservative,Something else,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Donald Trump (Republican),Very dissatisfied,Dissatisfied,Neutral,Dissatisfied,60,W
61,2016/10/26 7:38:23 PM EST,Married,Once a week,25,Male,White,Four year college degree/bachelor’s degree,Yes,Moderate,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Dissatisfied,Very dissatisfied,Satisfied,Very dissatisfied,61,MW
62,2016/10/26 7:38:25 PM EST,Never been married,Never,23,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Dissatisfied,62,NE
63,2016/10/26 7:38:34 PM EST,Married,Never,28,Female,Asian or Asian-American,Some college attendence,No,Moderate,Independent,No,Not very likely,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Dissatisfied,Satisfied,Dissatisfied,63,W
64,2016/10/26 7:38:40 PM EST,Married,Never,38,Female,White,"Some postgraduate or professional schooling, no postgraduate degree",Yes,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Satisfied,Dissatisfied,Very dissatisfied,64,MW
65,2016/10/26 7:38:40 PM EST,Married,Never,22,Female,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Satisfied,65,S
66,2016/10/26 7:38:58 PM EST,Married,Never,60,Male,Latin American/Hispanic,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Neutral,66,S
67,2016/10/26 7:39:00 PM EST,Living with a partner,A few times a year,28,Male,White,Four year college degree/bachelor’s degree,No,Very conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Neutral,Neutral,67,W
68,2016/10/26 7:39:05 PM EST,Married,Once a week,28,Male,White,Four year college degree/bachelor’s degree,No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,68,MW
69,2016/10/26 7:39:14 PM EST,Never been married,Seldom,27,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Liberal,Democrat,No,Yes,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Neutral,69,NE
70,2016/10/26 7:39:20 PM EST,Married,Seldom,33,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Moderate,Republican,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Neutral,Neutral,Neutral,70,W
71,2016/10/26 7:39:20 PM EST,Married,Seldom,34,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,71,MW
72,2016/10/26 7:39:21 PM EST,Never been married,Seldom,26,Male,White,Some college attendence,Yes,Conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,72,NE
73,2016/10/26 7:39:21 PM EST,Married,Never,30,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Satisfied,Neutral,73,MW
74,2016/10/26 7:39:22 PM EST,Married,Once a week,27,Male,White,Some college attendence,Yes,Conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,Very dissatisfied,Very dissatisfied,74,S
75,2016/10/26 7:39:24 PM EST,Never been married,Never,28,Male,Native American/American Indian/Alaska Native,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,75,NE
76,2016/10/26 7:39:26 PM EST,Divorced,Never,40,Male,White,Four year college degree/bachelor’s degree,No,Very liberal,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Dissatisfied,Very dissatisfied,Dissatisfied,Very satisfied,76,W
77,2016/10/26 7:39:27 PM EST,Married,Never,39,Male,White,High school graduate or GED,No,Liberal,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Dissatisfied,Satisfied,77,S
78,2016/10/26 7:39:30 PM EST,Never been married,Never,42,Female,White,Four year college degree/bachelor’s degree,No,Moderate,Republican,No,Not very likely,"I'm probably registered to vote, but there's a chance my registration has lasped",Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Neutral,Dissatisfied,78,S
79,2016/10/26 7:39:33 PM EST,Never been married,Never,23,Female,White,Some college attendence,No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Satisfied,79,W
80,2016/10/26 7:39:37 PM EST,Married,Seldom,41,Female,White,Four year college degree/bachelor’s degree,No,Moderate,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Dissatisfied,Neutral,Neutral,80,MW
81,2016/10/26 7:39:53 PM EST,Never been married,Once a week,25,nonbinary,White,Four year college degree/bachelor’s degree,No,Very liberal,Something else,No,Not very likely,"I'm probably registered to vote, but there's a chance my registration has lasped",Jill Stein (Green),Jill Stein (Green),Dissatisfied,Very dissatisfied,Very dissatisfied,Satisfied,81,W
82,2016/10/26 7:39:58 PM EST,Married,A few times a year,31,Female,Asian or Asian-American,Some college attendence,Yes,Liberal,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Very satisfied,Very dissatisfied,Satisfied,Neutral,82,W
83,2016/10/26 7:40:08 PM EST,Never been married,Seldom,31,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Liberal,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Dissatisfied,Dissatisfied,83,MW
84,2016/10/26 7:40:10 PM EST,Never been married,A few times a year,32,Male,White,Four year college degree/bachelor’s degree,No,Conservative,Republican,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Gary Johnson (Libertarian),Dissatisfied,Very dissatisfied,Neutral,Very dissatisfied,84,S
85,2016/10/26 7:40:12 PM EST,Married,Never,24,Female,White,Some college attendence,No,Liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Satisfied,Satisfied,85,S
86,2016/10/26 7:40:12 PM EST,Never been married,Never,34,Male,White,Did not complete high school,No,Liberal,Democrat,No,No,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Very dissatisfied,Satisfied,Satisfied,86,MW
87,2016/10/26 7:40:22 PM EST,Never been married,Once or twice a month,24,Male,Asian or Asian-American,Four year college degree/bachelor’s degree,No,Moderate,Independent,No,Yes,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Donald Trump (Republican),Dissatisfied,Satisfied,Very satisfied,Satisfied,87,S
88,2016/10/26 7:40:47 PM EST,Never been married,Never,24,Male,Asian or Asian-American,Some college attendence,No,Liberal,Independent,No,No,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Gary Johnson (Libertarian),Very dissatisfied,Dissatisfied,Neutral,Neutral,88,W
89,2016/10/26 7:40:55 PM EST,Never been married,Never,32,Female,"Mixed: White, Asian","Some postgraduate or professional schooling, no postgraduate degree",No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Neutral,Neutral,89,W
90,2016/10/26 7:40:57 PM EST,Never been married,Never,26,Male,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",No,Very liberal,Democrat,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Very dissatisfied,Neutral,90,NE
91,2016/10/26 7:41:19 PM EST,Living with a partner,Never,33,Female,White,Four year college degree/bachelor’s degree,No,Very liberal,Something else,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Satisfied,91,W
